Date,GAME,GameID,Visitor Team,Home Team,VisTeamID,HomeTeamID,RATING,VIEWERS,Network,TeamIDsDate
11/29/2003,Florida St. @ Florida,Florida State-Florida11-29-2003,Florida State,Florida,FSU,UF,5.7,N/A,CBS,FSU@UF11-29-2003
9/28/2002,Kentucky @ Florida,Kentucky-Florida09-28-2002,Kentucky,Florida,UK,UF,2.9,N/A,CBS,UK@UF09-28-2002
9/1/2001,Marshall @ Florida,Marshall-Florida09-01-2001,Marshall,Florida,MARSH,UF,0.91,N/A,ESPN2,MARSH@UF09-01-2001
9/29/2001,Miss. State @ Florida,Mississippi State-Florida09-29-2001,Mississippi State,Florida,MS,UF,1.9,N/A,CBS,MS@UF09-29-2001
10/27/2001,Georgia @ Florida,Georgia-Florida10-27-2001,Georgia,Florida,UGA,UF,2.8,N/A,CBS,UGA@UF10-27-2001
11/17/2001,Fla. State @ Florida,Florida State-Florida11-17-2001,Florida State,Florida,FSU,UF,4,N/A,CBS,FSU@UF11-17-2001
12/1/2001,Tennessee @ Florida,Tennessee-Florida12-01-2001,Tennessee,Florida,TENN,UF,6.2,N/A,CBS,TENN@UF12-01-2001
11/10/2018,South Carolina @ Florida,South Carolina-Florida11-10-2018,South Carolina,Florida,SCAR,UF,N/A,2068232,ESPN,SCAR@UF11-10-2018
9/6/2008,Miami @ UF,Miami (FL)-Florida09-06-2008,Miami (FL),Florida,MIAMI,UF,5,N/A,ESPN,MIAMI@UF09-06-2008
9/7/2002,Miami @ Florida,Miami (FL)-Florida09-07-2002,Miami (FL),Florida,MIAMI,UF,4.9,N/A,CBS,MIAMI@UF09-07-2002
9/30/2017,Vanderbilt @ Florida,Vanderbilt-Florida09-30-2017,Vanderbilt,Florida,VANDY,UF,N/A,2815085,ESPN,VANDY@UF09-30-2017
11/25/2017,Florida State @ Florida,Florida State-Florida11-25-2017,Florida State,Florida,FSU,UF,N/A,2055936,ESPN,FSU@UF11-25-2017
9/2/2017,Michigan @ Florida (ABC),Michigan-Florida09-02-2017,Michigan,Florida,MICH,UF,N/A,7895057,ABC,MICH@UF09-02-2017
11/7/2015,Vanderbilt @ Florida,Vanderbilt-Florida11-07-2015,Vanderbilt,Florida,VANDY,UF,1.8,2736382,ESPN,VANDY@UF11-07-2015
11/27/2015,Florida St @ Florida ,Florida State-Florida11-27-2015,Florida State,Florida,FSU,UF,2.4,4280301,ESPN,FSU@UF11-27-2015
10/3/2015,Ole Miss @ Florida,Mississippi (Ole Miss)-Florida10-03-2015,Mississippi (Ole Miss),Florida,OM,UF,2.1,3744644,ESPN,OM@UF10-03-2015
11/30/2013,FLA ST @ FLA,Florida State-Florida11-30-2013,Florida State,Florida,FSU,UF,2.1,3150692,ESPN,FSU@UF11-30-2013
9/1/2012,Bowling Green @ FLA,Bowling Green-Florida09-01-2012,Bowling Green,Florida,BGSU,UF,2.1,2757680,ESPN,BGSU@UF09-01-2012
10/9/2010,LSU @ FLA,LSU-Florida10-09-2010,LSU,Florida,LSU,UF,3.65,5321359,ESPN,LSU@UF10-09-2010
11/13/2010,USC @ FLA,South Carolina-Florida11-13-2010,South Carolina,Florida,SCAR,UF,2.95,4350547,ESPN,SCAR@UF11-13-2010
9/29/2007,AUB @ FLA,Auburn-Florida09-29-2007,Auburn,Florida,AU,UF,3.62,N/A,ESPN,AU@UF09-29-2007
9/23/2006,UK @ UF,Kentucky-Florida09-23-2006,Kentucky,Florida,UK,UF,1.99,N/A,ESPN,UK@UF09-23-2006
10/9/2004,LSU @ Florida,LSU-Florida10-09-2004,LSU,Florida,LSU,UF,2.96,N/A,ESPN,LSU@UF10-09-2004
10/12/2002,LSU @ Florida,LSU-Florida10-12-2002,LSU,Florida,LSU,UF,2.13,N/A,ESPN,LSU@UF10-12-2002
10/19/2002,Auburn @ Florida,Auburn-Florida10-19-2002,Auburn,Florida,AU,UF,2.21,N/A,ESPN,AU@UF10-19-2002
11/16/2002,S. Carolina @ Florida,South Carolina-Florida11-16-2002,South Carolina,Florida,SCAR,UF,1.39,N/A,ESPN,SCAR@UF11-16-2002
10/14/2017,Texas A&M @ Florida,Texas A&M-Florida10-14-2017,Texas A&M,Florida,TAMU,UF,N/A,2112301,ESPN2,TAMU@UF10-14-2017
9/12/2015,East Carolina @ Florida,East Carolina-Florida09-12-2015,East Carolina,Florida,ECU,UF,0.7,1045991,ESPN2,ECU@UF09-12-2015
10/18/2014,Missouri @ Florida,Missouri-Florida10-18-2014,Missouri,Florida,MIZZU,UF,0.7,1161848,ESPN2,MIZZU@UF10-18-2014
10/5/2013,ARK @ UF,Arkansas-Florida10-05-2013,Arkansas,Florida,AR,UF,1,1550373,ESPN2,AR@UF10-05-2013
11/3/2012,MIZ @ UF,Missouri-Florida11-03-2012,Missouri,Florida,MIZZU,UF,1.7,2267937,ESPN2,MIZZU@UF11-03-2012
11/26/2011,Florida St @ UF,Florida State-Florida11-26-2011,Florida State,Florida,FSU,UF,1.8,2562024,ESPN2,FSU@UF11-26-2011
